Oct 26 13:59:30 ViperSD4s-MacBook-Pro-3 login[10305] <Notice>: DEAD_PROCESS: 10305 ttys011
Oct 27 11:32:26 ViperSD4s-MacBook-Pro-3 login[84740] <Notice>: USER_PROCESS: 84740 ttys011
Oct 27 11:32:29 ViperSD4s-MacBook-Pro-3 login[84740] <Notice>: DEAD_PROCESS: 84740 ttys011
Oct 27 11:32:30 ViperSD4s-MacBook-Pro-3 login[84793] <Notice>: USER_PROCESS: 84793 ttys011
Oct 27 13:32:10 ViperSD4s-MacBook-Pro-3 login[87777] <Notice>: USER_PROCESS: 87777 ttys016
Oct 27 19:57:28 ViperSD4s-MacBook-Pro-3 login[76953] <Notice>: DEAD_PROCESS: 76953 ttys015
Oct 27 19:57:46 ViperSD4s-MacBook-Pro-3 login[9762] <Notice>: DEAD_PROCESS: 9762 ttys002
Oct 27 19:57:53 ViperSD4s-MacBook-Pro-3 login[9691] <Notice>: DEAD_PROCESS: 9691 ttys001
Oct 27 19:57:56 ViperSD4s-MacBook-Pro-3 login[10030] <Notice>: DEAD_PROCESS: 10030 ttys007
Nov  6 09:37:47 ViperSD4s-MacBook-Pro-3 login[273] <Notice>: USER_PROCESS: 273 ttys001
Nov  6 14:33:48 ViperSD4s-MacBook-Pro-3 login[5754] <Notice>: USER_PROCESS: 5754 ttys002
Nov  6 17:23:01 ViperSD4s-MacBook-Pro-3 login[5754] <Notice>: DEAD_PROCESS: 5754 ttys002
Nov  6 17:23:08 ViperSD4s-MacBook-Pro-3 login[11225] <Notice>: USER_PROCESS: 11225 ttys002
Nov  8 11:20:10 ViperSD4s-MBP-3 login[273] <Notice>: DEAD_PROCESS: 273 ttys001
Nov 13 10:18:39 ViperSD4s-MacBook-Pro-3 login[19848] <Notice>: USER_PROCESS: 19848 ttys001
Nov 13 16:03:24 ViperSD4s-MBP-3 login[19848] <Notice>: DEAD_PROCESS: 19848 ttys001
Nov 13 20:11:09 ViperSD4s-MBP-3 login[84793] <Notice>: DEAD_PROCESS: 84793 ttys011
Nov 13 20:11:19 ViperSD4s-MBP-3 login[25887] <Notice>: USER_PROCESS: 25887 ttys001
Nov 14 09:36:36 ViperSD4s-MacBook-Pro-3 login[11225] <Notice>: DEAD_PROCESS: 11225 ttys002
Nov 14 14:07:52 ViperSD4s-MacBook-Pro-3 login[33337] <Notice>: USER_PROCESS: 33337 ttys002
Nov 15 10:57:42 ViperSD4s-MacBook-Pro-3 login[62846] <Notice>: USER_PROCESS: 62846 ttys007
Nov 15 11:42:02 ViperSD4s-MacBook-Pro-3 login[65684] <Notice>: USER_PROCESS: 65684 ttys014
